"Event - historical H-ID"	"Event - historical Record Title"	"Name of event"	Description	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Duration	"Place / Location (mappable) H-ID"	"Place Record Title"	"Place / Location (mappable) Record Title"	"Place H-ID"	"Place Record Title"	"Place Record Title"	"Location (mappable)"	"Thumbnail image"	"Thumbnail image ID"	"Thumbnail image Name"	"Thumbnail image Path"
111	"Expédition de Philippe II de Macédoine en Asie Mineure (337 BCE)"	"Expédition de Philippe II de Macédoine en Asie Mineure"	"Envoie de généraux, justifié par la volonté de vengeance envers Xerxès lors des guerres médiques"	"337 BCE"	-000337														
112	"Prise de Samos par Timotheos (366 BCE)"	"Prise de Samos par Timotheos"		"366 BCE"	-000366				2	Samos	Samos								
113	"Expédition athénienne à Mélos (426 BCE)"	"Expédition athénienne à Mélos"		"426 BCE"	-000426				44	Mélos	Mélos								
114	"Expédition d'Athènes en Sicile (415 BCE-413 BCE)"	"Expédition d'Athènes en Sicile"		"415 BCE"	-000415	"413 BCE"	-000413												
115	"Bataille de Salamine (480 BCE-479 BCE)"	"Bataille de Salamine"	"Victoire des grecs contre les Perses"	"480 BCE"	-000480	"479 BCE"	-000479								"POINT(23.5659149 37.9477288)"				
116	"Bataille de Cnémos à Naupacte (429 BCE)"	"Bataille de Cnémos à Naupacte"	"Défaite Péloponnésienne face aux Athéniens"	"429 BCE"	-000429														
117	"Colatiion de cités grecques contre Sparte (395 BCE)"	"Colatiion de cités grecques contre Sparte"	"Coalition d'Athènes, Thèbes, Corinthe et Argos cotre Sparte avec le financement du Grand Roi perse"	"395 BCE"	-000395														
118	"Flotte péloponnésienne longe les côtes ioniennes (427 BCE)"	"Flotte péloponnésienne longe les côtes ioniennes"		"427 BCE"	-000427														
119	"Perte d'Abydos pour Athènes (411 BCE)"	"Perte d'Abydos pour Athènes"		"411 BCE"	-000411				35	Abydos	Abydos								
120	"Lysandre navigue de Rhodes à l'Hellespont (405 BCE)"	"Lysandre navigue de Rhodes à l'Hellespont"	"Lysandre en profite pour punir toutes les cités de la côte ionienne qui se sont révoltées"	"405 BCE"	-000405														
121	"Reprise de Byzance (389 BCE)"	"Reprise de Byzance"	"Reprise de Byzance suite à une révolte ?"	"389 BCE"	-000389				19	Byzance	Byzance								
122	"Renouvellement de la paix de Callias (424 BCE-423 BCE)"	"Renouvellement de la paix de Callias"		"424 BCE"	-000424	"423 BCE"	-000423												
123	"Parion acceuille 24 trières Athéniennes (410 BCE)"	"Parion acceuille 24 trières Athéniennes"		"410 BCE"	-000410														
126	"Création de la Seconde Confédération athénienne (377 BCE)"	"Création de la Seconde Confédération athénienne"	"Par le décret d'Aristide, qu'on appelle aussi une Symmachie"	"377 BCE"	-000377														
127	"Promesse de paix entre Athéniens et Lacédénomiens (371 BCE)"	"Promesse de paix entre Athéniens et Lacédénomiens"		"371 BCE"	-000371														
128	"Prise de Crithotè et Sestos (360 BCE)"	"Prise de Crithotè et Sestos"	"Cités à l'importance militaire et stratégique"	"360 BCE"	-000360				7	Sestos	Sestos								
130	"Défaite navale devant l'île d'Amorgos et défaite sur terre à Crannon (322 BCE)"	"Défaite navale devant l'île d'Amorgos et défaite sur terre à Crannon"	"Défaite Athénienne pendant la guerre lamiaque"	"322 BCE"	-000322				131	Amorgos	Amorgos	132	Crannon	Crannon					
134	"Alcibiade fuit Sparte et se réfugie chez Tissapherne (412 BCE)"	"Alcibiade fuit Sparte et se réfugie chez Tissapherne"		"412 BCE"	-000412														
135	"Révolte de l'Ionie (499 BCE)"	"Révolte de l'Ionie"	"Révolte des cités grecques de Ionie"	"499 BCE"	-000499														
136	"Prise de Sardes (498 BCE)"	"Prise de Sardes"		"498 BCE"	-000498														
137	"Prise de Milet (494 BCE)"	"Prise de Milet"	"Flotte de Ladé détruite"	"494 BCE"	-000494														
138	"Soumission de l'Erétrie par les Perses et victoire de Marathon (490 BCE)"	"Soumission de l'Erétrie par les Perses et victoire de Marathon"		"490 BCE"	-000490														
139	"Xerxès sur le trône (486 BCE)"	"Xerxès sur le trône"		"486 BCE"	-000486														
140	"Bataille des Thermopyles et du cap Artémision (480 BCE-479 BCE)"	"Bataille des Thermopyles et du cap Artémision"		"480 BCE"	-000480	"479 BCE"	-000479												
141	"Création de la Ligue de Délos (478 BCE)"	"Création de la Ligue de Délos"		"478 BCE"	-000478														
142	"Btaille de l'Eurydémon (469 BCE)"	"Btaille de l'Eurydémon"		"469 BCE"	-000469														
143	"Paix de Callias (449 BCE-448 BCE)"	"Paix de Callias"		"449 BCE"	-000449	"448 BCE"	-000448												
144	"Clérouquie à Lesbos (427 BCE)"	"Clérouquie à Lesbos"		"427 BCE"	-000427														
145	"Décret de Cléarque (437 BCE)"	"Décret de Cléarque"	"Unification des poids, mesures et monnaie"	"437 BCE"	-000437														
